Ticker,Year,Borrowings,CFO,CWIP,Depreciation,EquityCapital,FCF,FixedAssets,Interest,Investments,NetProfit,OperatingProfit,OtherAssets,OtherLiabilities,PBT,Reserves,Sales,TotalAssets,TotalLiabilities
ABCAPITAL,2023,,-24029,44,,2418,-24268,1279,,80383,,,98647,75304,,17893,,180353,180353
ABCAPITAL,2024,,-24100,94,,2600,-24499,1652,,99539,,,130338,94667,,24217,,231623,231623
ABCAPITAL,2025,,-27935,122,,2607,-28382,1929,,112953,,,163639,108245,,27782,,278643,278643
ABCAPITAL,2026,,-36544,11,,2620,-36905,2100,,84699,,,248583,121432,,31804,,335393,335393
ABDL,2023,,,,14,,,,46,,-4,59,,,-3,,895,,
ABDL,2024,,,,13,,,,27,,57,117,,,80,,974,,
ABDL,2025,,,,18,,,,26,,64,136,,,89,,1003,,
ABDL,2023,,,,13,,,,39,,-3,52,,,1,,814,,
ABDL,2024,,,,16,,,,44,,11,74,,,16,,758,,
ABDL,2025,,,,16,,,,27,,56,112,,,76,,923,,
ABDL,2020,1058,595,48,69,47,548,636,180,0,13,234,1730,983,0,326,2996,2414,2414
ABDL,2021,981,247,17,59,47,212,649,142,22,3,195,1620,952,13,328,2348,2308,2308
ABDL,2022,863,179,15,59,47,124,692,146,0,1,197,1548,988,4,357,2686,2255,2255
ABDL,2023,793,230,14,14,49,210,575,37,0,-1,50,1910,1301,-0,357,771,2500,2500
ABDL,2024,835,186,16,19,49,141,635,45,0,-2,60,1995,1403,-1,358,768,2645,2645
ABDL,2025,905,-678,19,16,56,-806,749,28,0,79,136,2765,1086,106,1487,921,3534,3534
ABDL,2026,1151,362,110,29,56,16,889,51,0,38,169,3164,1350,103,1607,1007,4163,4163
ABDL,2023,,,,12,,,,43,,11,71,,,16,,851,,
ABDL,2024,,,,16,,,,25,,48,103,,,64,,868,,
ABDL,2025,,,,16,,,,30,,63,125,,,84,,990,,
ABFRL,2023,,,,444,,,,245,,-108,553,,,-85,,4167,,
ABFRL,2024,,,,296,,,,151,,-42,293,,,-59,,2201,,
ABFRL,2025,,,,350,,,,132,,-137,302,,,-141,,2374,,
ABFRL,2023,,,,367,,,,187,,-162,292,,,-201,,3196,,
ABFRL,2024,,,,274,,,,132,,-215,89,,,-260,,1674,,
ABFRL,2025,,,,316,,,,113,,-234,106,,,-260,,1831,,
ABFRL,2019,1703,528,22,282,773,248,2555,225,4,321,593,4039,3489,149,655,8118,6621,6621
ABFRL,2020,5285,644,48,885,774,332,4940,469,14,-165,1259,4756,3406,-33,294,8788,9758,9758
ABFRL,2021,3600,1104,38,963,915,945,5627,530,418,-736,583,3966,3805,-838,1729,5249,10049,10049
